Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
125,24,9,82,0,Some Random Commen with Id 125
126,24,9,121,8,Some Random Commen with Id 126
127,24,9,15,4,Some Random Commen with Id 127
128,24,9,0,4,Some Random Commen with Id 128
129,26,6,102,9,Some Random Commen with Id 129
130,26,6,74,1,Some Random Commen with Id 130
131,26,6,138,1,Some Random Commen with Id 131
132,26,6,65,7,Some Random Commen with Id 132
133,26,6,192,7,Some Random Commen with Id 133
134,26,6,149,1,Some Random Commen with Id 134
135,26,6,106,8,Some Random Commen with Id 135
136,26,6,83,9,Some Random Commen with Id 136
137,26,6,116,1,Some Random Commen with Id 137
138,27,4,118,7,Some Random Commen with Id 138
139,27,4,7,6,Some Random Commen with Id 139
140,29,6,56,4,Some Random Commen with Id 140
141,29,6,27,3,Some Random Commen with Id 141
142,29,6,13,0,Some Random Commen with Id 142
143,29,6,126,7,Some Random Commen with Id 143
144,30,3,52,0,Some Random Commen with Id 144
145,30,3,155,9,Some Random Commen with Id 145
146,30,3,146,6,Some Random Commen with Id 146
147,30,3,152,6,Some Random Commen with Id 147
148,31,9,29,7,Some Random Commen with Id 148
149,31,9,69,3,Some Random Commen with Id 149
150,32,7,40,3,Some Random Commen with Id 150
151,32,7,70,0,Some Random Commen with Id 151
152,32,7,10,5,Some Random Commen with Id 152
153,32,7,191,3,Some Random Commen with Id 153
154,33,6,192,8,Some Random Commen with Id 154
155,33,6,136,8,Some Random Commen with Id 155
156,33,6,129,0,Some Random Commen with Id 156
157,33,6,83,9,Some Random Commen with Id 157
158,35,3,178,1,Some Random Commen with Id 158
159,35,3,131,9,Some Random Commen with Id 159
160,35,3,164,0,Some Random Commen with Id 160
161,35,3,1,0,Some Random Commen with Id 161
162,36,9,70,9,Some Random Commen with Id 162
163,37,2,113,6,Some Random Commen with Id 163
164,37,2,166,9,Some Random Commen with Id 164
165,37,2,136,7,Some Random Commen with Id 165
166,37,2,100,5,Some Random Commen with Id 166
167,37,2,166,6,Some Random Commen with Id 167
168,38,6,1,6,Some Random Commen with Id 168
169,38,6,196,0,Some Random Commen with Id 169
170,39,4,70,7,Some Random Commen with Id 170
171,39,4,154,2,Some Random Commen with Id 171
